Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-09-05,805.45,794.5,799.0,782.95,788.75,788.85,789.07,4567377,360398559660000.0,92381.0,2141609.0,0.4689,9,2011,5,1,1,5.649999999999977,-16.049999999999955,766.592857142857,50.25300469445329,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.41380342409624793
2011-09-06,788.85,783.2,825.5,776.5,825.1,821.5,801.44,7162305,574014934650000.0,131295.0,3400142.0,0.4747,9,2011,6,1,1,-38.299999999999955,-49.0,775.1928571428572,57.33880828248322,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.5681440354058795
2011-09-07,821.5,824.0,843.5,823.7,833.0,833.5,833.91,7186238,599267077585000.0,124508.0,4041586.0,0.5624,9,2011,7,1,1,-9.5,-19.799999999999955,786.6214285714286,59.615576829246905,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.003341522037947353
2011-09-08,833.5,833.5,859.0,814.5,857.5,852.45,837.02,8065388,675085377855000.0,166292.0,3310878.0,0.4105,9,2011,8,1,0,-18.950000000000045,-44.5,805.6285714285714,62.975914295855,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.12233800216469315
2011-09-09,852.45,852.15,858.55,823.7,824.4,825.75,837.29,6757863,565830461895000.0,137445.0,3241788.0,0.4797,9,2011,9,1,0,26.399999999999977,-34.84999999999991,815.7285714285715,55.91610958144338,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.1621155733611328
2011-09-12,825.75,810.35,822.45,795.25,805.0,806.3,808.08,4246961,343186713255000.0,100727.0,1251431.0,0.2947,9,2011,12,1,1,4.050000000000068,-27.200000000000045,819.1142857142858,51.396080444004326,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.37155266391165376
2011-09-13,806.3,813.2,824.75,796.75,812.0,810.25,811.99,5806114,471447870930000.0,123027.0,2018672.0,0.3477,9,2011,13,1,1,2.9500000000000455,-28.0,819.8000000000001,52.24043876708554,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.3671220432681157
2011-09-14,810.25,813.9,829.75,805.2,826.85,825.4,816.77,4694876,383465349305000.0,112644.0,1294762.0,0.2758,9,2011,14,1,1,-11.5,-24.549999999999955,825.0214285714285,55.43801044384587,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.19139100610149917
2011-09-15,825.4,833.0,838.6,813.55,835.3,836.3,827.65,4664709,386073714715000.0,107864.0,1512161.0,0.3242,9,2011,15,1,0,-3.2999999999999545,-25.050000000000068,827.1357142857142,57.6356624715831,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.006425515817670147
2011-09-16,836.3,850.0,850.0,821.0,828.0,825.65,832.76,6128496,510355880915000.0,97691.0,2835648.0,0.4627,9,2011,16,1,0,24.350000000000023,-29.0,826.0142857142856,54.79236564578119,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.3138002820754735
